date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:20:58	108/108	---M-Z	200	added ('OK')	text/plain	date:Sat,%2021%20Dec%202024%2000:20:58%20GMT	https://www.tickerautomotive.com/robots.txt		(from )
17:20:58	415342/415342	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Dec%202024%2000:20:58%20GMT	https://www.tickerautomotive.com/	C:/GoogleDrive/Projects/TickerAutomotive.com/oldsite/tickerautomotive.com/www.tickerautomotive.com/index.html	(from )
17:20:59	18095/18095	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2021%20Dec%202024%2000:20:59%20GMT	https://www.tickerautomotive.com/runtime-service-worker.js?v=3	C:/GoogleDrive/Projects/TickerAutomotive.com/oldsite/tickerautomotive.com/www.tickerautomotive.com/f30f4.txt	(from https://www.tickerautomotive.com/)
17:20:59	140246/140246	---M-Z	200	added ('OK')	application/javascript	etag:%2280408f4d6e80d61:0%22	https://zenogrecdn.kukui.com/libs/the-datepicker/0.7.1/the-datepicker.js	C:/GoogleDrive/Projects/TickerAutomotive.com/oldsite/tickerautomotive.com/zenogrecdn.kukui.com/libs/the-datepicker/0.7.1/the-datepicker.js	(from https://www.tickerautomotive.com/)
17:21:00	1025/1025	---M-Z	200	added ('OK')	text/css	etag:%225eb03ffd-401%22	http://cdnjs.cloudflare.com/ajax/libs/timepicker/1.3.5/jquery.timepicker.min.css	C:/GoogleDrive/Projects/TickerAutomotive.com/oldsite/tickerautomotive.com/cdnjs.cloudflare.com/ajax/libs/timepicker/1.3.5/jquery.timepicker.min.css	(from https://www.tickerautomotive.com/)
17:21:00	139805/139805	---M-Z	200	added ('OK')	application/javascript	etag:%2280305a2c62d4d61:0%22	https://zenogrecdn.kukui.com/libs/swiper/6.4.1/swiper-bundle.min.js	C:/GoogleDrive/Projects/TickerAutomotive.com/oldsite/tickerautomotive.com/zenogrecdn.kukui.com/libs/swiper/6.4.1/swiper-bundle.min.js	(from https://www.tickerautomotive.com/)
17:21:01	85578/85578	---MCZ	200	added ('OK')	text/javascript	etag:W/%222f6b11a7e914718e0290410e85366fe9%22	https://static.cdn-website.com/libs/jquery/2.2.4/jquery.min.js	C:/GoogleDrive/Projects/TickerAutomotive.com/oldsite/tickerautomotive.com/static.cdn-website.com/libs/jquery/2.2.4/jquery.min.js	(from https://www.tickerautomotive.com/)
17:21:01	0/0	---M--	200	added ('OK')	text/html	date:Sat,%2021%20Dec%202024%2000:21:01%20GMT	https://app.multiscreenstore.com/script.js	C:/GoogleDrive/Projects/TickerAutomotive.com/oldsite/tickerautomotive.com/app.multiscreenstore.com/script.5.delayed	(from https://www.tickerautomotive.com/)
17:21:02	309671/309671	---MCZ	200	added ('OK')	application/javascript	etag:W/%220365c17fb845c2da74c98ecdb7678c1c%22	https://static.cdn-website.com/mnlt/production/5014/_dm/s/rt/dist/scripts/d-js-one-runtime-unified-desktop.min.js	C:/GoogleDrive/Projects/TickerAutomotive.com/oldsite/tickerautomotive.com/static.cdn-website.com/mnlt/production/5014/_dm/s/rt/dist/scripts/d-js-one-runtime-unified-desktop.min.js	(from https://www.tickerautomotive.com/)
17:21:02	135100/135100	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Dec%202024%2000:21:02%20GMT	https://www.tickerautomotive.com/about-us	C:/GoogleDrive/Projects/TickerAutomotive.com/oldsite/tickerautomotive.com/www.tickerautomotive.com/about-us.html	(from https://www.tickerautomotive.com/)
17:21:03	138568/138568	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Dec%202024%2000:21:03%20GMT	https://www.tickerautomotive.com/specials	C:/GoogleDrive/Projects/TickerAutomotive.com/oldsite/tickerautomotive.com/www.tickerautomotive.com/specials.html	(from https://www.tickerautomotive.com/)
